"","id","title","total_views","total_subs"
"1","UC76G5sz2iIXyWk7bOXK2j6g","愛美教主 TV","1092891","42900"
"2","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q","3046407","46700"
"3","UC-QcZREHWQJgUN5AOBab1NQ","孟琦 NATSUKI","213590","27400"
"4","UCsaERFyJVQvjurXC3SsBYPw","歪點子實驗室","3283872","23600"
"5","UC6ACBhKd6H-yGPVcT04iMCA","游淑慧 官方頻道","332657","20000"
"6","UCFahBR2wixu0xOex84bXFvg","Annin Miru Channel","628822","40200"
"7","UC6ebRQXZfOLrKALxwUh84Sg","T台政經話","6762498","62800"
"8","UCOpNfxhmQt6NVq2AzP3VBEQ","SBD Taiwan","1682638","23300"
"9","UC8wcX-wFo8A8h-e7_NQzk_w","市民朱小雨","4605727","26600"
"10","UCoRFDQFQ52BlWthic2obY8w","刑事纪录CASES","3523611","26600"
"11","UCG_McV78gkS0U65DHXAePMQ","IVAN 艾文","2322343","28200"
"12","UCnyZSyrXD5FwMI3WqkYRg-A","亞克畫動畫","2797377","33100"
"13","UCm8LWQVfm0jyeWJrNS8sJLQ","韓家青年志工團","588275","27000"
"14","UCDv9vGKLFqhh8VLtnMZIXOg","李科穎 KE","1109121","33700"
"15","UCJllVl47GfdWBJsGhcYqq_Q","風之痕","2587917","35200"
"16","UCTurD8KAN-TTfV4HGzeJJNg","內門起義","7316864","53500"
"17","UCW0w5HvSlZ-xA3AfH4ir-AQ","七七日常","1476430","29900"
"18","UC-FFamtcAEBk6KzArZZYzOQ","【信口开盒】官方频道","4323268","19200"
"19","UCwBHtl-3ToTcf-q3Biv6i9A","more劉沛","193914","30100"
"20","UCD88pxOqzS2GZMR3AihUzuw","美食達人計劃","4821740","24300"
"21","UCV6AJqWMOIYnfbsK8niM55Q","柴Sean你說 Sean and Shiba","1619835","23600"
"22","UCCKdJQfcldhnd5LUlasJusw","政經最前線","6314702","19100"
"23","UCL--AnIMxQQdbcH4ESEK0Iw","阿滴日常","13896967","211000"
"24","UCcdAu2P3Z1z50WkrZYjEWFg","幹片兄弟 GangBro","2886824","42600"
"25","UCnge9M45PtfH1FOzjNwuLSw","侃侃養生","8948573","30800"
"26","UCEiRkDVh1JSEg12e6qoQrQA","加油小軍哥","1797301","14200"
"27","UCvsNeOy8opQGjK5CP_NAtAA","分享家-羽","6474145","55000"
"28","UC-n804Jb7iZg8GQCktwmOdg","挖瑪莉啦","6897134","31300"
"29","UCFuYrrmGOLyzA-OcN1M2Fnw","一件襯衫:你揮灑的城市日常風景","2670284","45100"
"30","UCFVeovU-6bi49LOO2io85RQ","傳說對決小饅頭","2034174","32700"
"31","UCdzgw-3dBy_C-3fGEgwNQgQ","123 GO! Challenge Chinese","51701153","230000"
"32","UCCbnUEWAM0lUorcBs7MS8CA","吳懷中&小龜跟阿YU","4069325","13000"
"33","UCLwFOT4tHGaK9kqXXExhPFQ","好味營養師品瑄","823843","38100"
"34","UCVqQ00b7fuie4r4AB5Yc5Ag","林真亦_YuNa♥","354574","13700"
"35","UCecE4uPAABSi4EIEuRAzwHA","Piers Garage","1455605","19200"
"36","UCjjQjnX5kfPx5XxJINE5W-A","進藤喜彥 Yoziness","1812438","43500"
"37","UCqWf9XDNyh7ePbM25QfsnOQ","抱歉了培根","451029","17300"
"38","UCIo9Cz4iuKU-BqX9UKHlAZA","彬彬有禮的彬_미쓰빈","1569328","23000"
"39","UChDYtWoZDndUFoVSyEzx_og","厭世甜點店","1709810","51400"
"40","UCp-RqLazc49w3dSiTs0kdYg","聖賢太子宮","1151812","11800"
"41","UCHwHEeW-U5vjxoTUvLV-_kQ","拍拍PaiPai","2048629","22700"
"42","UCquoyvONkwR1iR0YlZt_cZQ","純A迷因","2231892","13600"
"43","UCxK3okT8-VumqQLc2jv1yrQ","八拍葛格8bit GerGer","809739","17900"
"44","UC_9Xx_4CfvOJ_E6fYKTB6lg","赶海小章官方频道","15465131","50400"
"45","UCy-pqt2qjYVDZqwBiTS9yDA","王志郁Plus","1268343","23300"
"46","UCnqSPU1RWpVHAWYDe56Isxg","麻姑師太","1505184","63600"
"47","UC1rXdFa25iiRPuwwBVj1tkw","遊戲皮卡嚕 PikaLu","6033519","72300"
"48","UC6avGgjCi3WqdT22pFKktuA","Qistin Wong TV","4617644","60500"
"49","UCgpYLDHD6MmBxSHcjuDkY_Q","戰神94強","10362326","101000"
"50","UCU52jEOalBuKxiGu1eEjtww","阿哦玩具","11574910","19700"
"51","UCNwGD6yrDw_VzlbI-uGIRHQ","抖音最火視頻","4028999","11500"
"52","UCU52jEOalBuKxiGu1eEjtww","阿哦玩具","11574910","19700"
"53","UC2QTxMxR8soBexzFclw4Axg","米瓜","3496846","18500"
"54","UCz99jjtnWH4qNRgPEhWoRww","亞藍 TV Yalan","569305","17500"
"55","UC_9Xx_4CfvOJ_E6fYKTB6lg","赶海小章官方频道","15465131","50400"
"56","UCjjQjnX5kfPx5XxJINE5W-A","進藤喜彥 Yoziness","1812438","43500"
"57","UCiG-vI6MW2hmok1-7vgK2jA","鳥先生&鳥夫人","10107152","46600"
"58","UCecE4uPAABSi4EIEuRAzwHA","Piers Garage","1455605","19200"
"59","UCnqSPU1RWpVHAWYDe56Isxg","麻姑師太","1505184","63600"
"60","UCnqSPU1RWpVHAWYDe56Isxg","麻姑師太","1505184","63600"
"61","UCtXdYgkY1RYCiUWfpmo5DMQ","齊力斷金","2605724","21600"
"62","UCKg6x3vVUXzDsqWFdrosyKQ","Zack劉大詮","434386","13300"
"63","UCIk7xyLAs74Fawvcwe7tocA","嗨賴少年 Highlight【創業開箱企劃進行中!】","260935","11000"
"64","UCv4HggW8dcPK9mIEZ10Agzg","YBY on Mars","4382553","46900"
"65","UCWDaU-qRXrZcUQYDRv2asvw","艾爾文","22100956","511000"
"66","UC6kh50A4TMslBLMnv0MeArw","器材旅人毛巾 Mouching","735834","11100"
"67","UCo4BXutxwkxZF30fXnMsjGQ","农家的小勇","16154699","65200"
"68","UCMoGxgVcKBgZfZsKELbv9Cw","有貓真好CatMeowGo","2144329","19200"
"69","UC1PtSMecZEDa5xmZzT-yLcA","绝地求生真人版冷康","14732681","34400"
"70","UCAduQy1y6-Lb5VQNS7R2tAA","先吃再說 Eat First","3600190","15500"
"71","UCjHCBI7CNqQwzuaiDtCAQmA","Linvo說宇宙","1095712","11900"
"72","UC1HgqMzEfDXW2c55dyvjFpg","Thíck lang Thang","2967712","21500"
"73","UCGa3mluL_aylIHgKBKPitYg","Chinese DJ - 年最劲爆的","4183361","21500"
"74","UCehVLZ2Dwd4fwGCidgz517A","卡叔Uncle Ka","3261853","21500"
"75","UCbTN0Ucmnwo9iz8-eDgJdeA","Animal Shelter","4340235","17700"
"76","UCTOA5N3AbUAVSWrSjlK5A2g","泥泥汝","2092048","61300"
"77","UCA8qrI8d-CEjEY5-HbAWKMA","MxA Music","776664","16900"
"78","UCBJmYv3Vf_tKcQr5_qmayXg","老饭骨","11802524","239000"
"79","UCLzzo3tor2Z7BAbkdR8UUhA","Suri蘇瀅","22508955","129000"
"80","UC12YOqeGpxJOPAXF3AdgHpg","真像五則天","3847653","91100"
"81","UCNQYqKvUOQ-8pPRNgRLXcjg","我是程二妹","2856657","12800"
"82","UCJ3swzDo4nRjAGaHP1AryQA","【 Goodhealing Tarot 】谷希麟•塔羅占卜","571317","12900"
"83","UCKVZHwuuDxFk-KfT7g5_ZYA","滑雪老司機Snow Sensei","998476","23400"
"84","UCkczvHGTDnmY8vXmHUvo7rQ","CAT TA貓泰","2436296","17700"
"85","UC5AdfeJkjzRZhjK037UgY-A","啵緹","1180243","19200"
"86","UCXtm7fA_KEvnlUM1or3QjvA","娟子美食","16808239","78200"
"87","UC8wIQijqOBL13NQ2pHG1sUw","forgoodmusic","13072096","18000"
"88","UCH0CYJBlFqswdlDdbXDnB-Q","全民星攻略","16733713","65700"
"89","UCnXLslDRBPExnUBunhM918Q","賀瓏Hello","6820061","81400"
"90","UC3RipcQzHCHvHuQEUFic2oQ","無名","1284215","15100"
"91","UCA0gaB71yl2p_g5WlO5zljw","洋葱","2179560","54500"
"92","UCyKoGV75RsHVSm1hMSNZMqw","Food Adventure","7309431","18200"
"93","UCpK3cV8Anly7B9_BmbikPuw","孫生又來了","1043302","32300"
"94","UC3SeBKeZsZZlP5Q7NajgpSQ","趙小僑女人說","5991445","59700"
"95","UCNzmWsJUKyOvInVqY1c5Asg","肥肥Lzkny Fat","2663348","26200"
"96","UCXAtGPXU8pRpd1H4itn7u9A","Husky小隊","1878637","12400"
"97","UCV-s8tichDSSc19lUw08kXQ","陕北霞姐官方频道","29032679","103000"
"98","UCb5CLIe2eKtSC5Eq7XmgZoQ","Sherry Li","735380","23400"
"99","UCFVeovU-6bi49LOO2io85RQ","傳說對決小饅頭","2034174","32700"
"100","UCzxN4G3s9uR9ao5_O5DoXmA","Onion Man","217755170","699000"
